listing_age,host_age,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,listing_age.1,mean_PriceRange_0.5,restaurants_cnt_0.5,mean_review_cnt_0.5,mean_starts_avg_0.5,mean_PriceRange_1,restaurants_cnt_1,mean_review_cnt_1,mean_starts_avg_1,mean_PriceRange_1.5,restaurants_cnt_1.5,mean_review_cnt_1.5,mean_starts_avg_1.5,mean_PriceRange_2,restaurants_cnt_2,mean_review_cnt_2,mean_starts_avg_2,mean_PriceRange_2.5,restaurants_cnt_2.5,mean_review_cnt_2.5,mean_starts_avg_2.5,mean_PriceRange_3,restaurants_cnt_3,mean_review_cnt_3,mean_starts_avg_3
7.736986301,7.808219178,24,100,78,1,1,1,District 6,private room,2,1,1,1,45,2,356,244,115,3,4.97,4.97,4.98,4.99,5,4.88,4.95,0,7.736986301,1.166666667,24,78.79166667,4.151666996,1.318181818,44,173.3409091,4.077088993,1.246073298,191,124.9424084,3.961850257,1.275862069,290,133.0827586,3.977334412,1.3075,400,118.735,3.846673891,1.312617702,531,114.047081,3.776508611
7.526027397,9.468493151,1,100,100,1,3,1,District 19,house,4,1,2,2,90,30,180,175,92,2,4.96,4.99,4.92,4.99,4.98,4.89,4.89,0,7.526027397,1.646464646,99,207.6161616,3.654782676,1.54491018,501,173.7644711,3.584174119,1.47251462,855,161.6093567,3.659958578,1.432108626,1252,159.2731629,3.686848018,1.426512968,1388,156.8551873,3.712675726,1.434405941,1616,148.8564356,3.706972969
6.528767123,10.44109589,1,100,96,0,14,1,District 12,private room,1,1,1,1,35,31,365,90,3,0,4.67,4.33,3.67,5,5,5,4,0,6.528767123,0,0,0,0,0,0,0,0,1,2,32.5,2.92478355,0.714285714,7,28,3.900112373,0.9,10,51.2,3.648929498,1.133333333,15,43.06666667,3.462327346
7.375342466,9.632876712,1,94,98,1,8,1,District 18,house,12,3,5,7,649,2,1125,262,114,14,4.74,4.62,4.74,4.89,4.88,4.85,4.64,1,7.375342466,1.517857143,56,118.9821429,3.556501014,1.493087558,217,119.5069124,3.542149446,1.497797357,454,136.4581498,3.601088516,1.488338192,686,150.2857143,3.664675702,1.44375,1120,134.8669643,3.683711107,1.433806147,1692,143.4403073,3.699388951
7.701369863,7.75890411,3,100,87,0,5,1,District 6,house,4,1,1,1,182,2,365,45,233,19,4.94,4.97,4.96,4.97,4.99,4.91,4.91,0,7.701369863,1.545454545,22,157.9090909,4.109545962,1.405063291,158,146.0316456,4.101309767,1.300411523,243,146.0781893,4.033180944,1.356807512,426,168.2652582,3.854466457,1.320886814,857,144.6487748,3.823265156,1.337860781,1178,150.147708,3.829269691
7.679452055,7.756164384,3,100,96,1,1,1,District 15,house,6,2,3,3,275,30,365,365,21,0,4.71,4.76,4.71,5,4.86,4.9,4.71,0,7.679452055,0,0,0,0,1,4,59.5,3.440863127,1.166666667,12,63.58333333,3.508865202,1.175,40,84.025,3.658273136,1.328947368,76,97.56578947,3.524214604,1.378205128,156,99.39102564,3.489628122
7.295890411,8.161643836,1,100,100,1,5,1,District 21,house,4,1,1,2,98,1,1125,296,607,70,4.96,4.97,4.99,4.98,4.97,4.95,4.92,1,7.295890411,1.425925926,54,127.3148148,3.663933336,1.410714286,168,97.94642857,3.577366608,1.470066519,451,131.5720621,3.612960676,1.445730825,691,136.382055,3.671888757,1.403583618,1172,136.866041,3.70752747,1.431076179,1654,145.814994,3.71460533
7.701369863,7.75890411,3,100,87,0,5,1,District 6,house,4,1,1,1,149,2,365,18,233,9,4.95,4.95,4.95,4.97,5,4.88,4.89,0,7.701369863,1.666666667,9,155.2222222,4.176110249,1.390728477,151,142.8940397,4.118061796,1.298755187,241,146.4190871,4.045581708,1.286144578,332,148.4096386,3.955371948,1.311193112,813,145.9163592,3.825363008,1.334203655,1149,151.4551784,3.838737575
7.547945205,9.632876712,1,94,98,1,8,1,District 18,house,6,2,2,3,151,2,1125,83,177,18,4.78,4.79,4.79,4.91,4.83,4.93,4.82,1,7.547945205,1.564516129,62,120.4354839,3.563753055,1.485106383,235,116.8085106,3.514118609,1.493506494,462,137.2510823,3.596406272,1.491354467,694,155.148415,3.669179487,1.446660885,1153,139.9288812,3.690081783,1.434474616,1694,143.3164109,3.700375273
7.583561644,8.769863014,3,100,53,1,3,1,District 7,house,4,1,2,2,110,30,180,226,85,2,4.74,4.82,4.84,4.9,4.91,4.68,4.77,0,7.583561644,0,0,0,0,1.035714286,28,51.35714286,3.764972727,1.425925926,108,113.0092593,3.528544001,1.421052632,171,100.122807,3.421745953,1.388349515,206,92.5776699,3.477069638,1.285211268,284,100.7253521,3.539613146
